ZoneID,Accessible_ha,Buffer,Threshold,Species,Area_ha,Accessible_pct
21,1006013.55,5km,High08,Rparvifolia,13810040.08,7.28
14,87692.79,1km,High08,Rleprosula,1213036.049,7.23
11,2205931.64,5km,Omission,Rparvifolia,30947370.4,7.13
11,1131700.13,1km,High08,Rparvifolia,15978412.76,7.08
20,129615.14,5km,High08,Rparvifolia,1833699.819,7.07
19,1848846.1,5km,Omission,Rleprosula,26530606.33,6.97
9,42394.74,1km,High08,Rleprosula,612537.4609,6.92
21,44017.28,1km,High08,Rleprosula,638477.4667,6.89
18,1785981.79,5km,Omission,Rleprosula,26326704.61,6.78
17,35832.57,1km,DanumPlot,Rleprosula,534684.0347,6.7
12,22204.39,1km,High08,Rleprosula,332810.9224,6.67
7,1716791,5km,DanumPlot,Rparvifolia,25850938.21,6.64
11,1135478.05,1km,EqSS,Rleprosula,17374115.26,6.54
7,1716807.19,5km,EqSS,Rparvifolia,26799181.75,6.41
1,2179.93,1km,DanumPlot,Rparvifolia,34134.27456,6.39
13,1584708.64,5km,DanumPlot,Rparvifolia,25304078.06,6.26
9,733665.04,5km,High08,Rparvifolia,11843683.79,6.19
2,278.93,5km,High08,Rleprosula,4569.195705,6.1
18,1797975.56,5km,Omission,Rparvifolia,29760986.7,6.04
13,1586818.2,5km,EqSS,Rparvifolia,26260158.35,6.04
14,963365.78,5km,EqSS,Rleprosula,16275274.17,5.92
7,1713425.87,5km,Omission,Rleprosula,29469305.75,5.81
20,1540005.67,5km,Omission,Rleprosula,26518546.86,5.81
8,48681.13,5km,DanumPlot,Rleprosula,845035.6687,5.76
12,242922.59,5km,DanumPlot,Rleprosula,4253712.394,5.71
7,1716807.19,5km,Omission,Rparvifolia,30939755.4,5.55
13,1557839.68,5km,Omission,Rleprosula,28891871.8,5.39
20,1387009.22,5km,EqSS,Rparvifolia,25809018.44,5.37
20,1605416.82,5km,Omission,Rparvifolia,30025646.62,5.35
16,1423711.52,5km,Omission,Rleprosula,26677014.55,5.34
16,1384796.71,5km,EqSS,Rparvifolia,25976675.32,5.33
16,1327453.95,5km,DanumPlot,Rparvifolia,24998847.29,5.31
9,1462364.31,5km,Omission,Rleprosula,27767805.24,5.27
2,1701.12,5km,High08,Rparvifolia,32296.83229,5.27
9,1403905.82,5km,EqSS,Rparvifolia,26710380.53,5.26
14,186599.38,1km,DanumPlot,Rleprosula,3577743.125,5.22
13,1587708.68,5km,Omission,Rparvifolia,30388794.05,5.22
9,1330937.68,5km,DanumPlot,Rparvifolia,25484892.7,5.22
18,1322778.89,5km,EqSS,Rparvifolia,25567424.65,5.17
7,111798.65,1km,DanumPlot,Rleprosula,2244116.219,4.98
13,852156.94,5km,EqSS,Rleprosula,17137840.56,4.97
19,1477061.11,5km,Omission,Rparvifolia,30048697.37,4.92
20,1211206.15,5km,DanumPlot,Rparvifolia,24764043.69,4.89
16,1454297.07,5km,Omission,Rparvifolia,30151439.3,4.82
7,39196.09,1km,High08,Rleprosula,815561.2858,4.81
6,1255118.33,5km,DanumPlot,Rparvifolia,26235609.6,4.78
9,1487685.88,5km,Omission,Rparvifolia,31202144,4.77
18,585417.89,1km,EqSS,Rleprosula,12391412.53,4.72
8,173935.01,5km,EqSS,Rleprosula,3726955.452,4.67
6,1263746.08,5km,EqSS,Rparvifolia,27200985.61,4.65
11,1147583.89,1km,DanumPlot,Rparvifolia,25801923.89,4.45
12,728016.14,5km,EqSS,Rleprosula,16420080.59,4.43
18,1087385.53,5km,DanumPlot,Rparvifolia,24562854.4,4.43
3,73.77,5km,High08,Rleprosula,1669.729851,4.42
11,1147665.19,1km,EqSS,Rparvifolia,26779523.87,4.29
4,1272711.54,5km,Omission,Rleprosula,29730950.11,4.28
6,607461.98,1km,High08,Rparvifolia,14479455.87,4.2
4,1287508.4,5km,Omission,Rparvifolia,31159777.16,4.13
12,1062596.1,5km,DanumPlot,Rparvifolia,25991785.45,4.09
6,1215924.37,5km,Omission,Rleprosula,29805049.58,4.08
6,1273041.22,5km,Omission,Rparvifolia,31364734.43,4.06
12,1086308.68,5km,EqSS,Rparvifolia,26953992.79,4.03
7,561187.14,1km,High08,Rparvifolia,14216383.8,3.95
11,1145739.93,1km,Omission,Rleprosula,29430228.4,3.89
21,579838.93,1km,EqSS,Rleprosula,14934327.43,3.88
2,1165031.12,5km,Omission,Rleprosula,30342127.5,3.84
14,1046901.56,5km,EqSS,Rparvifolia,27303038.23,3.83
21,159580.37,1km,DanumPlot,Rleprosula,4188833.487,3.81
14,991267.46,5km,DanumPlot,Rparvifolia,26247139.5,3.78
13,590080.51,1km,High08,Rparvifolia,15864700.68,3.72
20,458148.95,1km,EqSS,Rleprosula,12357526.61,3.71
11,1147704.81,1km,Omission,Rparvifolia,30947370.4,3.71
14,1007402.51,5km,Omission,Rleprosula,27898642.62,3.61
12,992078.56,5km,Omission,Rleprosula,27555520.69,3.6
2,1123445.84,5km,Omission,Rparvifolia,31652408.78,3.55
12,1101617.91,5km,Omission,Rparvifolia,31100155.16,3.54
14,1114582.1,5km,Omission,Rparvifolia,31449008.96,3.54
12,495679.86,5km,High08,Rparvifolia,14379636.47,3.45
4,878816.13,5km,EqSS,Rparvifolia,26964941.2,3.26
2,147.54,1km,High08,Rleprosula,4569.195705,3.23
16,479457.56,1km,EqSS,Rleprosula,15271862.77,3.14
21,776135.49,1km,EqSS,Rparvifolia,25488759.41,3.05
17,388567.75,5km,EqSS,Rleprosula,12774183.83,3.04
13,25397.5,5km,High08,Rleprosula,834686.3485,3.04
21,745067.54,1km,DanumPlot,Rparvifolia,24545856.96,3.04
10,483599.05,5km,High08,Rparvifolia,15944426.87,3.03
21,785994.12,1km,Omission,Rleprosula,26163871.29,3
19,377838.85,1km,EqSS,Rleprosula,12689976.35,2.98
8,25135.18,1km,DanumPlot,Rleprosula,845035.6687,2.97
7,505303.43,1km,EqSS,Rleprosula,17185266.81,2.94
18,768423.75,1km,Omission,Rleprosula,26326704.61,2.92
9,421913.43,1km,EqSS,Rleprosula,14791912.08,2.85
6,723612.64,1km,DanumPlot,Rparvifolia,26235609.6,2.76
21,804897.5,1km,Omission,Rparvifolia,29606875.84,2.72
